1 'em	'em
49213 wake-robin	Dich boi Robin
49214 wakeful	tinh tao
49215 waken	keu
49216 wakener	nguoi danh thuc
49217 waker	waker
49218 waketime	gio thuc day
49219 walaway	khong co nuoc bot
49220 wald	rung
49221 waldenses	waldenses
49222 waldensian	waldensian
49223 waldgrave	waldgrave
49224 waldheimia	waldheimia
49225 wale	mot minh
49226 walhalla	Walhalla
49227 walk-mill	nha may di bo
49228 walk-over	chien thang de dang
49229 walkable	di lai duoc
49230 walked	di bo
49231 wall	Tuong
49232 wall-eyed	tuong mat
49233 wall-plat	tam tuong
49234 wall-sided	mat tuong
49235 wallaba	va tro choi
49236 wallabies	wallabies
49237 wallaby	wallaby
49238 wallah	wallah
49239 wallaroo	chuot tui
49240 wallbird	con chim son ca
49241 waller	nguoi lam tuong
49242 wallerian degeneration	thoai hoa wallerian
49243 wallet	cai vi
49244 walleteer	nguoi di bo
49245 wallflower	hoa tuong vi
49246 wallhick	va cai quai
49247 walling	vach tuong
49248 walloons	walloons
49249 wallop	buc tuong
49250 walloped	co tuong bao quanh
49251 walloping	su cheo leo
49252 wallow	chet tiet
49253 wallowed	co tuong bao
49254 wallower	nguoi treo tuong
49255 wallowing	lam tuong
49256 wallowish	mu mit
49257 wallwort	wallwort
49258 walm	Khoi
49259 walnut	qua oc cho
49260 walrus	hai ma
49261 walter	walter
49262 waltron	waltron
49263 walty	walty
49264 waltz	waltz
49265 waltzed	waltzed
49266 waltzer	waltzer
49267 waltzing	waltzing
49268 walwe	walwe
49269 waly	wally
49270 wamble	noi lung tung
49271 wamble-cropped	wamble-crop
49272 wammel	wammel
49273 wamp	wamp
49274 wampee	qua hong bi
49275 wampum	wampum
49276 wan	Van
49277 wanderer	nguoi lang thang
49278 wanderingly	lang thang
49279 wanderoo	Wanderoo
49280 wandy	cay dua phep
49281 waned	lu mo
49282 waney	waney
49283 wang	wang
49284 wangan	tien bac
49285 wanger	ma
49286 wanghee	Wang va E
49287 wango	toi tu bo
49288 wanhope	tuyet vong
49289 wanhorn	wanhorn
49290 waniand	va
49291 waning	suy tan
49292 wankle	tieng van veo
49293 wanly	wanly
49294 wanned	wanned
49295 wanness	suc khoe
49296 wannish	wannish
49297 wantonize	hanh hung
49298 wantonly	bua bai
49299 wantonness	su co chap
49300 wantrust	khong co long tin
49301 wantwit	ham muon
49302 wanty	truy na
49303 wany	wanny
49304 wanze	Ban tu choi
49305 wap	wap
49306 wapacut	wapacut
49307 wapatoo	ho di ra
49308 waped	waped
49309 wapentake	nhiem vu vu khi
49310 wapinschaw	wapinschaw
49311 wapiti	di ngang qua
49312 wappato	wappato
49313 wapper	vo
49314 wappet	wappet
49315 wapping	danh trao
49316 war-beaten	bi chien tranh danh bai
49317 warbler	chim chich choe than
49318 warburg's tincture	con cua warburg
49319 ward	khu vuc
49320 ward-corn	phuong-ngo
49321 wardcorps	tu dung quan ao
49322 warded	ngan can
49323 warder	nguoi giam ho
49324 wardian	cai nguc
49325 warding	phong ho
49326 wardrobe	tu quan ao
49327 wardroom	phong ve sinh
49328 wardship	giam ho
49329 wardsman	nguoi trong coi
49330 wardsmen	linh gac
49331 ware	do
49332 wareful	kho
49333 warega fly	bay Warega
49334 warehouse	Kho
49335 warehoused	nhap kho
49336 warehousemen	nhan vien kho hang
49337 wareless	khong co kho
49338 warely	kho bai
49339 warence	kho hang
49340 wareroom	kem that
49341 wares	do gom
49342 warhable	co the uon duoc
49343 wariangle	wariangle
49344 warily	than trong
49345 warine	chien truong
49346 wariness	su canh giac
49347 warish	nguoi lon tuoi
49348 warison	dut gay
49349 wark	wark
49350 warkloom	warkloom
49351 warlikeness	hieu chien
49352 warling	lam nong
49353 warlock	warlock
49354 warlockry	warlockry
49355 warly	mo ho
49356 warm-blooded	mau nong
49357 warm-hearted	co trai tim am ap
49358 warmed	am len
49359 warmful	am ap
49360 warming	su nong len
49361 warmly	nong nhiet
49362 warmonger	am hon
49363 warmouth	warmouth
49364 warmth	su am ap
49365 warmthless	khong co hoi am
49366 warner	nguoi bao ve
49367 warningly	canh bao
49368 warnstore	warnstore
49369 warpath	duong doc
49370 warper	lam cong
49371 warping	cong venh
49372 warproof	chong chien tranh
49373 warragal	cac tai lieu
49374 warrandice	warrandice
49375 warrant	bao dam
49376 warrantable	co the bao dam
49377 warranting	bao hanh
49378 warrantor	nguoi bao hanh
49379 warranty	su bao dam
49380 warray	bao cao
49381 warren	warren
49382 warrener	warrener
49383 warriangle	tam giac chien
49384 warrie	boi roi
49385 warrin	warrin
49386 warrior	chien binh
49387 warrioress	warrioress
49388 warry	Varrya
49389 wart	mun com
49390 wart hog	con cho cai
49391 warted	bi dau
49392 wartless	khong co mun
49393 wartweed	co phan huong
49394 wartwort	wartwort
49395 warwickite	warwickite
49396 warworn	warworn
49397 warye	canh giac
49398 wase	sau do
49399 washable	co the giat duoc
49400 washboard	ban giat
49401 washdish	rua mat
49402 washen	washen
49403 washer	may giat
49404 washerwoman	nguoi giat giu
49405 washerwomen	phu nu giat giu
49406 washhouse	nha ve sinh
49407 washiness	su lang phi
49408 washing	rua
49409 washingtonian	washtonian
49410 washout	rua troi
49411 washpot	chau rua
49412 washtub	bon rua mat
49413 washy	ban thiu
49414 wasium	wasium
49415 wasp	Ong vo ve
49416 wassail	co nghia
49417 wassailer	tho san
49418 wast	ong bap cay
49419 wastebasket	thung rac
49420 wasteboard	bang xep hang
49421 wastebook	so tay
49422 wastel	dat hoang
49423 wasting	lang phi
49424 wastor	tho giat
49425 wastorel	wastorel
49426 wastrel	con ong bap cay
49427 watch	dong ho 
49428 watched	da xem
49429 watcher	nguoi quan sat
49430 watchful	de phong
49431 watchhouses	choi canh
49432 watching	xem
49433 watchmaker	tho sua dong ho
49434 watchmen	nguoi canh gac
49435 watchtower	thap canh
49436 watchword	tu khoa
49437 water adder	nguoi bo sung nuoc
49438 water agrimony	nuoc nong nghiep
49439 water aloe	nuoc lo hoi
49440 water antelope	linh duong nuoc
49441 water arum	nuoc arum
49442 water back	nuoc tro lai
49443 water bailiff	thua phat lai
49444 water ballast	Chan luu nuoc
49445 water barometer	phong vu bieu nuoc
49446 water bath	tam nuoc
49447 water battery	pin nuoc
49448 water bear	Gau nuoc
49449 water bed	giuong nuoc
49450 water beech	cay soi nuoc
49451 water bellows	ong thoi nuoc
49452 water blackbird	con chim den nuoc
49453 water boatman	nguoi lai thuyen nuoc
49454 water brain	nao nuoc
49455 water brash	Ong nuoc de vo
49456 water breather	voi xa nuoc
49457 water bridge	cau nuoc
49458 water buffalo	trau nuoc
49459 water bug	bo nuoc
49460 water butt	mong nuoc
49461 water can	binh dung nuoc
49462 water canker	thung nuoc
49463 water carriage	van chuyen nuoc
49464 water cart	xe nuoc
49465 water celery	nuoc can tay
49466 water cell	te bao nuoc
49467 water cement	xi mang nuoc
49468 water chestnut	hat de nuoc
49469 water chevrotain	tam che nuoc
49470 water chicken	ga nuoc
49471 water chickweed	beo tay
49472 water chinquapin	nuoc chinquapin
49473 water clock	dong ho nuoc
49474 water color	mau nuoc
49475 water course	nhien lieu nuoc
49476 water craft	tau thuy
49477 water crake	nuoc crake
49478 water crane	can cau nuoc
49479 water cress	cai xoong
49480 water crow	qua nuoc
49481 water crowfoot	chan qua nuoc
49482 water cure	nuoc chua benh
49483 water deck	san nuoc
49484 water deer	huou nuoc
49485 water deerlet	nai con nuoc
49486 water devil	quy nuoc
49487 water dock	ben nuoc
49488 water doctor	bac si nuoc
49489 water dog	hải cảu
49490 water drainage	thoat nuoc
49491 water dressing	thay nuoc
49492 water dropwort	giot nuoc
49493 water eagle	dai bang nuoc
49494 water elder	truong lao nuoc
49495 water feather	long nuoc
49496 water feather-foil	la long nuoc
49497 water flannel	nuoc flannel
49498 water flea	bo chet nuoc
49499 water flounder	ca bon
49500 water fox	waterfox
49501 water frame	khung nuoc
49502 water gage	thiet bi do nuoc
49503 water gall	nuoc mat
49504 water gang	bang dang nuoc
49505 water gas	khi nuoc
49506 water gate	cua nuoc
49507 water gauge	do nuoc
49508 water gavel	voi nuoc
49509 water germander	nuoc mam
49510 water gilding	ma vang nuoc
49511 water glass	ly nuoc
49512 water god	than nuoc
49513 water gruel	nuoc gruel
49514 water hammer	bua nuoc
49515 water hemlock	khoa nuoc
49516 water hemp	waterhemp
49517 water hen	ga mai
49518 water hog	heo nuoc
49519 water horehound	cho san nuoc
49520 water hyacinth	luc binh
49521 water ice	nuoc da
49522 water inch	inch nuoc
49523 water joint	nuoc chung
49524 water junket	nguoi nghien nuoc
49525 water laverock	nuoc laverock
49526 water leg	chan nuoc
49527 water lemon	nuoc chanh
49528 water lettuce	nuoc rau diep
49529 water level	muc nuoc
49530 water lily	cay bong sung
49531 water lime	nuoc voi
49532 water lizard	than lan nuoc
49533 water locust	chau chau nuoc
49534 water meter	thuoc do nuoc
49535 water milfoil	nuoc bot
49536 water mill	coi xay nuoc
49537 water mint	nuoc bac ha
49538 water mite	mat nuoc
49539 water moccasin	moccasin nuoc
49540 water mole	not ruoi nuoc
49541 water monitor	man hinh nuoc
49542 water motor	dong co nuoc
49543 water newt	sa giong nuoc
49544 water nymph	cay sen trang
49545 water oat	yen mach nuoc
49546 water opossum	nuoc opossum
49547 water ordeal	thu thach nuoc
49548 water ousel	nuoc chay ra
49549 water ouzel	nuoc ouzel
49550 water parsnip	cai nuoc
49551 water partridge	ga go nuoc
49552 water pennywort	nuoc rau ma
49553 water pepper	tieu nuoc
49554 water pheasant	chim tri nuoc
49555 water piet	banh nuoc
49556 water pig	lon nuoc
49557 water pillar	cot nuoc
49558 water pimpernel	nhan nuoc
49559 water pitcher	binh nuoc
49560 water plant	tuoi cay
49561 water plantain	nha may nuoc
49562 water plate	dia nuoc
49563 water poa	nuoc poa
49564 water poise	nuoc dinh dac
49565 water pore	lo chan long
49566 water power	suc nuoc
49567 water pox	thuy dau
49568 water privilege	dac quyen ve nuoc
49569 water purslane	vi nuoc
49570 water qualm	khoi nuoc
49571 water rabbit	tho nuoc
49572 water radish	cu cai nuoc
49573 water rail	duong sat nuoc
49574 water ram	ram nuoc
49575 water rat	chuot nuoc
49576 water rate	ty le nuoc
49577 water rattle	nuoc lach cach
49578 water rattler	luc lac nuoc
49579 water rice	com nuoc
49580 water rocket	ten lua nuoc
49581 water sail	buom nuoc
49582 water sapphire	sapphire nuoc
49583 water scorpion	bo cap nuoc
49584 water screw	vit nuoc
49585 water shield	tam chan nuoc
49586 water shrew	chuot chu nuoc
49587 water snail	oc nuoc
49588 water snake	ran nuoc
49589 water soldier	linh thuy
49590 water souchy	nuoc chua
49591 water spaniel	spaniel nuoc
49592 water sparrow	chim se nuoc
49593 water speedwell	gieng toc do nuoc
49594 water spider	nhen nuoc
49595 water spinner	may quay nuoc
49596 water sprite	Thuy than
49597 water star grass	co sao nuoc
49598 water starwort	sao nuoc
49599 water supply	cung cap nuoc
49600 water tabby	nuoc muop
49601 water table	muc nuoc ngam
49602 water thermometer	nhiet ke nuoc
49603 water thief	ke trom nuoc
49604 water thrush	cay bim bip
49605 water thyme	nuoc co xa huong
49606 water tick	tich nuoc
49607 water tiger	ho nuoc
49608 water torch	ngon duoc nuoc
49609 water tower	Thap nuoc
49610 water tree	cay nuoc
49611 water trefoil	nuoc la
49612 water tu tuyere	nuoc ban voi
49613 water tu twist	nuoc ban xoan
49614 water tube	ong nuoc
49615 water tupelo	tupelo nuoc
49616 water turkey	ga tay nuoc
49617 water vine	nuoc nho
49618 water violet	mau tim nuoc
49619 water viper	viper nuoc
49620 water vole	nuoc vole
49621 water wagtail	duoi dai nuoc
49622 water way	duong nuoc
49623 water wheel	banh xe nuoc
49624 water willow	thuy lieu
49625 water wing	canh nuoc
49626 water witch	phu thuy nuoc
49627 water-bearer	nguoi ganh nuoc
49628 water-bound	dinh nuoc
49629 water-closet	tu nuoc
49630 water-colorist	nguoi pha mau nuoc
49631 water-furrow	ranh nuoc
49632 water-logged	ngap nuoc
49633 water-ret	nuoc-ret
49634 water-retted	huong nuoc
49635 water-retting	lam thang nuoc
49636 water-rot	thoi nuoc
49637 water-rotted	nuoc thoi rua
49638 water-rotting	thoi rua nuoc
49639 water-soak	ngam nuoc
49640 water-standing	dong nuoc
49641 water-tight	kin nuoc
49642 water-white	nuoc trang duc
49643 waterboard	van truot nuoc
49644 waterbok	waterbuck
49645 watered	Tuoi nuoc
49646 waterer	nguoi tuoi nuoc
49647 waterfall	thac nuoc
49648 waterflood	co nuoc
49649 waterfowl	chim nuoc
49650 waterhorse	ca ngua
49651 waterish	tuoi nuoc
49652 waterishness	su tuoi dam nuoc
49653 waterlander	tau do bo
49654 waterlandian	nguoi song nuoc
49655 waterleaf	la nuoc
49656 waterless	khong co nuoc
49657 watermark	Chu ky anh
49658 watermelon	dua hau
49659 watermen	thuy thu
49660 waterpot	am nuoc
49661 waterproof	khong tham nuoc
49662 waterproofing	chong tham
49663 waterscape	canh bien
49664 watershed	dau nguon
49665 watershoot	ban nuoc
49666 waterspout	mang nuoc
49667 watertath	duong dan nuoc
49668 waterway	duong thuy
49669 waterweed	beo
49670 waterwork	cong trinh nuoc
49671 waterworn	waterworn
49672 watery	chay nuoc
49673 watt	oat
49674 wattle	noi nho
49675 wattlebird	chim son ca
49676 wattled	lach cach
49677 wattling	lac lu
49678 wattmeter	oat ke
49679 waucht	thuc day
49680 waught	dau tranh
49681 waur	chien tranh
49682 waved	vay tay
49683 waveless	khong gon song
49684 wavelet	wavelet
49685 wavellite	wavellite
49686 waverer	song
49687 waveringly	dao dong
49688 waveringness	su dao dong
49689 waveson	song bien
49690 waveworn	waveworn
49691 wavey	wavey
49692 waving	vay
49693 wavure	wavure
49694 wavy	Don song
49695 wawaskeesh	wawaskeesh
49696 wawe	som
49697 wawl	cuoi lon
49698 wax	thu gi do
49699 waxberry	qua viet quat
49700 waxbill	giay sap
49701 waxbird	con chim sap
49702 waxen	tay long
49703 waxiness	sap ong
49704 waxwing	waxing
49705 waxwork	do lam bang sap
49706 waxworker	tho lam sap
49707 waxy	sap
49708 way	duong
49709 way shaft	truc duong
49710 way-going	duong di
49711 waybill	giay gui hang
49712 waybread	banh mi nuong
49713 waybung	waybung
49714 wayed	Rong
49715 wayfare	ve di duong
49716 wayfarer	nguoi lu hanh
49717 wayfaring	di duong
49718 wayk	nau nuong
49719 waylaid	dat mong
49720 waylayer	Nguoi lai xe
49721 waylaying	loi mon
49722 wayless	cach it
49723 wayleway	loi di
49724 waymaker	nguoi bao ke
49725 waymark	dau cach
49726 waymented	co nhieu nep nhan
49727 waymenting	co loi mon
49728 wayside	le duong
49729 wayward	uong nganh
49730 waywiser	nguoi dan duong
49731 waywodeship	van chuyen duong bien
49732 wayworn	con duong
49733 wayz-goose	wayz-ngong
49734 we'll	on
49735 weak	Yeu
49736 weak-hearted	yeu tim
49737 weak-minded	dau oc yeu duoi
49738 weaken	lam suy yeu
49739 weakener	nguoi lam suy yeu
49740 weakening	suy yeu
49741 weakfish	ca yeu
49742 weakly	yeu ot
49743 weakness	yeu duoi
49744 weal-balanced	can bang suc khoe
49745 weald	weald
49746 wealden	Weald
49747 wealful	khoe manh
49748 wealsman	nguoi tap the duc
49749 wealsmen	nguoi an cap
49750 wealthiness	su giau co
49751 wealthy	giau co
49752 weanel	day deo
49753 weanling	cai sua
49754 weaponed	duoc huan luyen
49755 weaponless	khong co vu khi
49756 weaponry	vu khi
49757 wearable	co the deo duoc
49758 wearer	nguoi mac
49759 weariable	co the mac duoc
49760 weasand	weasand
49761 weasel-faced	mat chon
49762 weaser	weaser
49763 weather-beaten	thoi tiet xau
49764 weather-bit	thoi tiet-bit
49765 weather-driven	do thoi tiet
49766 weather-fend	chong choi voi thoi tiet
49767 weatherboard	bang thoi tiet
49768 weatherboarding	luot van
49769 weathercock	voi phun nuoc
49770 weatherglass	kinh thoi tiet
49771 weathering	phong hoa
49772 weathermost	thoi tiet khac nghiet
49773 weatherproof	chiu duoc thoi tiet
49774 weatherwise	theo thoi tiet
49775 weatherworn	thoi tiet
49776 weaverfish	ca det kim
49777 weazand	giang
49778 weazen	tre mo coi
49779 weazeny	met moi
49780 web	web
49781 web-fingered	ngon tay tren web
49782 web-footed	web-footed
49783 web-toed	web-toed
49784 webbed	co mang
49785 webber	webber
49786 webbing	day vai
49787 webby	webby
49788 weber	weber
49789 webeye	trang mang
49790 webfeet	webfeet
49791 webfoot	webfoot
49792 webform	webform
49793 webster	webster
49794 websterite	websterite
49795 wed	Thu Tu
49796 weddahs	weddahs
49797 wedded	ket hon
49798 wedder	mot trong hai
49799 wedding	le cuoi
49800 weder	cung khong
49801 wedge	cai nem
49802 wedge-shell	vo nem
49803 wedge-tailed	co duoi
49804 wedgebill	wedgebill
49805 wedgewise	hinh nem
49806 wedging	nem
49807 wedgwood ware	do go wedgwood
49808 wedgy	dam cuoi
49809 wedlock	gia thu
49810 wednesday	Thu tu
49811 wee	mot chut
49812 weech-elm	duong-cay du
49813 weed	can sa
49814 weeder	lai
49815 weeding-rhim	lam co-rhim
49816 weedless	khong co co dai
49817 weeklies	tuan le
49818 weekly	hang tuan
49819 weekwam	di tuan
49820 weel	thung dung hang
49821 ween	ween
49822 weeper	khan tang
49823 weeping-ripe	khoc-chin
49824 weepingly	khoc loc
49825 weerish	an mon
49826 weet-bird	biet chim
49827 weet-weet	dieu biet
49828 weetless	khong met moi
49829 weever	tho det
49830 weeviled	bi mot
49831 weevily	dang yeu
49832 weezel	chon
49833 weft	soi ngang
49834 weftage	su thua thai
49835 wegotism	chu nghia chan nan
49836 wehrgeld	tien quan su
49837 wehrgelt	chuyen bay tro lai
49838 wehrwolf	wehrwolf
49839 weigelia	cho anh em
49840 weigh-houses	nha can
49841 weighable	co the can duoc
49842 weighboard	ban can
49843 weighbridge	cau can
49844 weighing	can
49845 weighmaster	giam doc can
49846 weighted	co trong luong
49847 weightiness	can nang
49848 weighting	trong luong
49849 weightless	chan khong
49850 weighty	nang ne
49851 weir	dap pha
49852 weird	ky di
49853 weirdness	su ki la
49854 weism	chu nghia xa hoi
49855 weka	dat
49856 wekeen	chung toi da lam
49857 wel-begone	bat dau tot
49858 welaway	di han
49859 welcomely	than ai
49860 welcomeness	su chao don
49861 welcomer	nguoi chao mung
49862 welcoming	chao don
49863 weld	moi han
49864 weldable	han duoc
49865 welding	han xi
49866 weldon's process	qua trinh cua tho han
49867 wele	hay chung kien
49868 weleful	manh me
49869 welew	mat me
49870 welfare	phuc loi
49871 welfaring	welfaring
49872 welking	hoan nghenh
49873 well	Tot
49874 well-born	duoc sinh ra tot
49875 well-bred	duoc lai tao tot
49876 well-draining	thoat nuoc tot
49877 well-favored	duoc ua chuong
49878 well-informed	day du thong tin
49879 well-intentioned	co thien chi
49880 well-known	noi tieng
49881 well-liking	thich
49882 well-mannered	lich su
49883 well-meaner	nguoi giau co
49884 well-meaning	co y nghia
49885 well-natured	tot bung
49886 well-nigh	ngu ngon
49887 well-plighted	cung canh ngo
49888 well-read	doc tot
49889 well-seen	duoc nhin thay ro
49890 well-set	thiet lap tot
49891 well-sped	chay nhanh
49892 well-spoken	noi hay lam
49893 well-willer	y chi tot
49894 well-wish	loi chuc tot dep
49895 welladay	me toi
49896 wellat	lanh lan
49897 welldrain	han the
49898 welled	sung tuc
49899 wellfare	su noi tieng
49900 wellhead	dau gieng
49901 wellhole	dan tot
49902 welling	hanh phuc
49903 wellingtonia	wellingtonia
49904 wellingtons	ung bot
49905 wellspring	con chau
49906 wellwisher	nguoi rua gieng
49907 wels	Ca meo
49908 welsher	welsher
49909 welshmen	nguoi xu Wales
49910 welsome	dep trai
49911 weltering	tho han
49912 welting	han
49913 welwitschia	Welwitschia
49914 wemless	vo dung
49915 wench	wench
49916 wenched	wenched
49917 wencher	wencher
49918 wenching	wenching
49919 wenchless	wenchless
49920 wended	lam co
49921 wendic	wendic
49922 wendish	nguoi map map
49923 wene	wen
49924 wenlock group	nhom wenlock
49925 wennel	wennel
49926 wennish	wennish
49927 wenny	wenny
49928 wenona	map map
49929 went	di
49930 wentletrap	cay tam ma
49931 wep	wep
49932 werche	werche
49933 weregild	wasgild
49934 werewolf	ma soi
49935 werke	nha may
49936 wern	alder
49937 wernerian	wernerian
49938 wernerite	wernerite
49939 werre	werre
49940 werrey	werrey
49941 werst	werst
49942 wert	gia tri
49943 weryangle	weryangle
49944 wesand	cat
49945 wesh	wesh
49946 wesil	phuong tien giao thong
49947 wesleyan	wesleyan
49948 wesleyanism	thuyet wesley
49949 west india	tay an do
49950 west indian	phia tay An Do
49951 western	mien Tay
49952 westerner	nguoi phuong tay
49953 westing	danh thuc
49954 westling	Westling
49955 westminster assembly	hoi dong westminster
49956 westmost	cuc tay
49957 westness	mien tay
49958 westwards	ve phia tay
49959 westy	khach san
49960 wet	bi uot
49961 wet nurse	vu nuoi
49962 wet-shod	uot sung
49963 wetbird	con chim uot
49964 wether	nguoi lam uot
49965 wetting	lam uot
49966 wettish	hop phap
49967 wevil	con mot
49968 wex	wex
49969 wey	Tuyet
49970 weyle	o
49971 weyleway	weyleway
49972 wezand	Cua tu
49973 whaap	ung dung
49974 whaleboat	thuyen ca voi
49975 whalebone	xuong ca voi
49976 whaled	danh ca voi
49977 whalemen	nguoi danh ca voi
49978 whaling	san bat ca voi
49979 whally	chet nguoi
49980 whammel	chuyen gi vay
49981 whan	whan
49982 whanghee	that la buon cuoi
49983 whapper	ca voi
49984 whapping	danh manh
49985 wharfed	ben bai
49986 wharl	wharl
49987 wharp	cai gi
49988 wharves	cau cang
49989 whate'er	whate'er
49990 whatever	sao cung duoc
49991 whatnot	khong co gi
49992 whatso	nhung gi vay
49993 whaul	cai gi vay
49994 whealworm	whealworm
49995 wheatbird	con chim lua mi
49996 wheatear	wheatear
49997 wheaten	lua mi
49998 wheatsel bird	chim wheatsel
49999 wheatstone's bridge	cau cua Wheatstone
50000 wheatworm	sau mi
50001 wheder	wheder
50002 wheedle	wheedle
50003 wheel-shaped	hinh banh xe
50004 wheel-worn	banh xe mon
50005 wheelbarrow	xe cut kit
50006 wheelbird	con chim lan
50007 wheeled	co banh xe
50008 wheeler	xe lan banh
50009 wheelhouse	nha banh xe
50010 wheelman	nguoi lai xe lan
50011 wheelmen	tho banh xe
50012 wheelwork	banh xe
50013 wheelwright	tho lam banh xe
50014 wheely	kho khao
50015 wheezy	tho kho khe
50016 whelm	whelm
50017 whelmed	leo teo
50018 whenas	whenas
50019 whence	thoi gian
50020 whencesoever	khicesoever
50021 whenever	bat cu khi nao
50022 whennes	khi nao
50023 whensoever	whensoever
50024 whereabouts	noi o
50025 whereas	nhung trai lai
50026 whereat	duong cong
50027 whereby	nho do
50028 wherefore	do do
50029 whereform	hinh thuc
50030 wherein	trong do
50031 whereinto	whereinto
50032 wheremaster	nguoi quan ly
50033 whereof	cua no
50034 whereout	o dau ra
50035 whereret	hoi ha
50036 wheresoever	bat cu noi nao
50037 wherethrough	qua dau
50038 whereunto	whereunto
50039 whereupon	o dau
50040 wherever	bat cu noi dau
50041 wherewith	o do
50042 wherewithal	phuong tien can thiet
50043 wherret	wherret
50044 wherries	qua anh dao
50045 wherry	ghe
50046 wherso	wherso
50047 whether	cho du
50048 whethering	dui cui
50049 whetstone	da mai
50050 whetter	nguoi danh lua
50051 whew	kho khe
50052 whewellite	whewellite
50053 whewer	may keo
50054 whey-faced	mat whey
50055 wheyey	wheyey
50056 wheyface	wheyface
50057 wheyish	vang sua
50058 whichever	cai nao
50059 whichsoever	bat cu dieu gi
50060 whidah bird	chim trang
50061 whiffet	su danh trong lang
50062 whiffler	tieng rit
50063 whiffletree	whiffletree
50064 whiggamore	nguoi an bam
50065 whiggery	su nhong nheo
50066 whiggish	mau trang duc
50067 whiggishly	ky quai
50068 whiggism	thoi trang hoa
50069 whilom	trong khi do
50070 whilst	trong khi
50071 whimbrel	danh xoay
50072 whimmy	me oi
50073 whimperer	nguoi thut thit
50074 whimpering	thut thit
50075 whimple	mun nhot
50076 whimsicality	tinh hay thay doi
50077 whimsically	bat chot
50078 whimsies	y tuong bat chot
50079 whimsy	hay thay doi
50080 whimwham	whimwham
50081 whinberry	qua quat
50082 whinchat	noi chuyen phiem
50083 whinge	su thay doi
50084 whiningly	than van
50085 whinnied	ren ri
50086 whinnies	tieng ren ri
50087 whinyard	nhong nheo
50088 whip-poor-will	roi-kem-y-chi
50089 whip-shaped	hinh roi
50090 whip-tom-kelly	roi-tom-kelly
50091 whipgrafting	danh roi
50092 whipparee	whipparee
50093 whipperin	whipperin
50094 whippersnapper	whippersnapper
50095 whippletree	whippletree
50096 whipsaw	cua sat
50097 whipster	nguoi danh roi
50098 whipstick	cay roi
50099 whipworm	trung roi
50100 whirl-blast	tieng no
50101 whirlabout	su quay cuong
50102 whirlbone	xuong quay
50103 whirlicote	whirlicote
50104 whirligig	whirligig
50105 whirlpool	xoay nuoc
50106 whirlwind	gio loc
50107 whirry	lang xang
50108 whisked	danh bong
50109 whiskered	rau ria
50110 whiskerless	khong co rau
50111 whiskeyfied	ruou whiskyfied
50112 whiskies	ruou whisky
50113 whiskin	ruou whiskin
50114 whisking	danh trung
50115 whisky	whisky
50116 whiskyfied	danh nhuyen
50117 whisperer	nguoi thi tham
50118 whisperingly	thi tham
50119 whistle	coi
50120 whistlefish	ca coi
50121 whistlewood	cay huyt sao
50122 whistly	huyt sao
50123 whit	y thich
50124 white-blaze	lua trang
50125 white-ear	tai trang
50126 white-eye	mat trong sang
50127 white-face	khuon mat trang
50128 white-foot	chan trang
50129 white-fronted	mat truoc mau trang
50130 white-heart	trai tim trang
50131 white-hot	nong sang
50132 white-limed	voi trang
50133 white-pot	noi trang
50134 white-water	suoi nuoc trang
50135 whitebeam	bach xa
50136 whitebeard	whitebeard
50137 whitebill	bach tang
50138 whiteboy	cau be trang
50139 whitecap	mu luoi trai mau trang
50140 whitecoat	ao khoac trang
50141 whitefish	ca trang
50142 whitehead	toc trang
50143 whitely	chac chan
50144 whitener	chat lam trang
50145 whiteness	do trang
50146 whitening	lam trang
50147 whiterump	trang hon
50148 whitesmith	tho lam trang
50149 whitester	whitester
50150 whitetail	whitetail
50151 whitethorn	whitethorn
50152 whitetop	whitetop
50153 whitewash	minh oan
50154 whitewasher	nguoi quet voi trang
50155 whitewashing	quet voi trang
50156 whiteweed	bach hoa xa thiet thao
50157 whitewing	Canh trang
50158 whitewood	go trang
50159 whitewort	bach tat le
50160 whitflaw	whitflaw
50161 whithersoever	tuy y
50162 whitherward	o phia ngoai
50163 whitile	nguoi da trang
50164 whiting-mop	quat lau nha
50165 whitishness	mau trang
50166 whitleather	bong hoa
50167 whitling	quat
50168 whitlow	whitlow
50169 whitlow-wort	whitlow-wort
50170 whitmonday	whitmonday
50171 whitneyite	whitneyite
50172 whitson	whitson
50173 whitsour	whitsour
50174 whitster	roi da
50175 whitsun	whitsun
50176 whitsunday	whitsunday
50177 whitsuntide	whitsuntide
50178 whitten tree	cay quat
50179 whitterick	whitterick
50180 whittle	danh trong lang
50181 whittling	van ven
50182 whittlings	cho san
50183 whittret	cai voi
50184 whittuesday	thu ba bat chot
50185 whitwall	buc tuong trang
50186 whitworth ball	qua bong whitworth
50187 whitworth gun	sung whitworth
50188 whity-brown	nau trang
50189 whizzing	tieng vo ve
50190 whoa	Ai cha
50191 whobub	noi bay
50192 whole	tron
50193 whole-hoofed	toan bo mong
50194 whole-length	toan bo chieu dai
50195 whole-souled	toan tam hon
50196 wholeness	su tron ven
50197 wholesale	ban si
50198 wholesome	lanh manh
50199 wholly	hoan toan
50200 whom	ai
50201 whoobub	whoobub
50202 whooped	vu vu
50203 whopper	nguoi ban buon
50204 whopping	khong lo
50205 whoremonger	whoremonger
50206 whoreson	con roi
50207 whorled	quay cuong
50208 whorler	nguoi noi bay
50209 whort	con diem
